time,frequency,confidence
2.450,157.388,0.133965
2.460,378.131,0.282407
2.470,269.494,0.148121
2.480,267.802,0.227702
2.490,265.707,0.459764
2.500,531.638,0.460860
2.510,537.335,0.468414
2.520,548.707,0.427308
2.530,555.059,0.774215
2.540,554.578,0.839171
2.550,551.417,0.815925
2.560,547.839,0.805251
2.570,539.244,0.678151
2.580,523.867,0.626966
2.590,509.549,0.588682
2.600,501.852,0.147013
2.610,456.734,0.376720
2.620,455.088,0.382510
2.630,456.189,0.140229
2.640,244.340,0.047411
2.650,625.639,0.367296
2.660,623.733,0.371924
2.670,625.374,0.265153
2.680,613.931,0.133905
2.690,802.574,0.191237
2.700,795.795,0.604521
2.710,786.185,0.747432
2.720,780.605,0.704683
2.730,779.408,0.687354
2.740,773.483,0.481599
2.750,773.471,0.499061
2.760,380.157,0.223045
2.770,263.154,0.310564
2.780,266.090,0.425243
2.790,271.803,0.517161
2.800,274.980,0.445580
2.810,314.875,0.284156
2.820,622.307,0.204134
2.830,324.373,0.140241
2.840,698.273,0.112582
2.850,253.933,0.087363
2.860,261.710,0.115977
2.870,394.184,0.299274
2.880,396.496,0.688468
2.890,396.322,0.739916
2.900,394.187,0.334616
2.910,129.259,0.099562
2.920,256.398,0.235907
2.930,253.354,0.371270
2.940,250.439,0.427038
2.950,125.511,0.386272
2.960,126.725,0.348084
2.970,129.479,0.120872
2.980,308.401,0.175923
2.990,297.758,0.092873
3.000,290.039,0.164227
3.010,289.630,0.101107
3.020,129.857,0.087784
3.030,155.196,0.124349
3.040,206.606,0.102603
3.050,202.042,0.497878
3.060,201.391,0.624868
3.070,201.379,0.780357
3.080,200.635,0.767864
3.090,197.920,0.664464
3.100,195.013,0.666314
3.110,193.070,0.479836
3.120,190.208,0.233829
3.130,192.176,0.112158
3.140,196.879,0.114391
3.150,300.148,0.227825
3.160,39.002,0.129730
3.170,310.680,0.112779
3.180,187.573,0.107625
3.190,188.233,0.137871
3.200,278.092,0.436315
3.210,273.797,0.434680
3.220,271.004,0.237025
3.230,248.511,0.162767
3.240,250.169,0.539264
3.250,251.292,0.719890
3.260,252.677,0.631868
3.270,253.852,0.514760
3.280,251.937,0.304395
3.290,373.118,0.168460
3.300,236.718,0.078847
3.310,225.879,0.097984
3.320,188.301,0.146273
3.330,186.333,0.133075
3.340,1666.404,0.097758
3.350,38.458,0.135895
3.360,817.164,0.105271
3.370,809.247,0.093498
3.380,812.626,0.143250
3.390,187.874,0.088555
3.400,185.947,0.186937
3.410,184.530,0.312752
3.420,182.425,0.233704
3.430,182.293,0.141324
3.440,161.789,0.089986
3.450,187.764,0.047550
3.460,397.093,0.151301
3.470,392.346,0.123321
3.480,161.354,0.239272
3.490,157.944,0.274364
3.500,157.244,0.181918
3.510,236.878,0.134591
3.520,234.704,0.487350
3.530,231.219,0.681441
3.540,227.248,0.679047
3.550,224.620,0.700522
3.560,223.503,0.369638
3.570,222.804,0.131905
3.580,441.329,0.080170
3.590,556.808,0.088341
3.600,39.078,0.078537
3.610,38.994,0.101585
3.620,417.336,0.072835
3.630,193.567,0.070444
3.640,236.654,0.179711
3.650,239.828,0.192376
3.660,121.477,0.177366
3.670,122.538,0.371407
3.680,122.667,0.283474
3.690,242.071,0.221896
3.700,236.297,0.196519
3.710,232.511,0.246712
3.720,233.226,0.310858
3.730,233.247,0.133191
3.740,231.001,0.131592
3.750,199.130,0.096351
3.760,196.170,0.183050
3.770,78.568,0.065654
3.780,78.281,0.080939
3.790,79.601,0.117684
3.800,82.102,0.147574
3.810,167.168,0.161121
3.820,200.713,0.267996
3.830,201.001,0.340523
3.840,186.723,0.177629
3.850,185.402,0.263318
3.860,180.901,0.203834
3.870,234.368,0.076743
3.880,233.597,0.115231
3.890,250.425,0.153622
3.900,253.425,0.349787
3.910,251.588,0.184965
